transaction_id,region,product_category,quantity,unit_price,discount_percent,transaction_date
TXN-10001,West,Books,14,218.00,5,2025-05-01
TXN-10002,West,Fitness,16,336.42,15,2025-03-27
TXN-10003,East,Electronics,2,288.92,20,2025-05-23
TXN-10004,East,Groceries,7,158.49,29,2025-04-21
TXN-10005,North,Apparel,18,86.52,1,2025-03-08
TXN-10006,South,Electronics,20,283.86,16,2025-05-02
TXN-10007,West,Home & Kitchen,-4,474.33,11,2025-05-18
TXN-10008,West,Groceries,7,61.59,20,2025-04-26
TXN-10009,South,Electronics,14,333.30,11,2025-05-01
TXN-10010,North,Home & Kitchen,16,201.19,25,2025-04-07
TXN-10011,West,Fitness,11,387.93,11,2025-04-02
TXN-10012,North,Books,8,50.19,10,2025-03-19
TXN-10013,North,Fitness,2,284.74,26,2025-03-19
TXN-10014,North,Books,17,47.21,10,2025-03-06
TXN-10015,West,Fitness,19,300.96,2,2025-05-28
TXN-10016,North,Home & Kitchen,11,351.73,19,2025-05-26
TXN-10017,West,Home & Kitchen,18,306.99,23,2025-05-12
TXN-10018,South,Fitness,4,430.40,28,2025-03-20
TXN-10019,East,Groceries,18,403.93,3,2025-03-18
TXN-10020,East,Books,16,234.70,29,2025-05-25
TXN-10021,North,Fitness,20,224.85,25,2025-04-18
TXN-10022,West,Apparel,3,392.55,3,2025-03-06
TXN-10023,West,Books,10,348.48,8,2025-05-28
TXN-10024,North,Fitness,5,415.38,24,2025-04-02
TXN-10025,South,Fitness,14,35.57,27,2025-05-25
TXN-10026,South,Home & Kitchen,8,42.29,22,2025-04-14
TXN-10027,North,Fitness,5,171.14,17,2025-05-04
TXN-10028,East,Electronics,11,320.51,26,2025-04-10
TXN-10029,South,Books,6,173.97,23,2025-05-25
TXN-10030,North,Home & Kitchen,16,219.88,21,2025-05-24
TXN-10031,South,Books,20,202.97,4,2025-03-14
TXN-10032,East,Home & Kitchen,10,97.46,2,2025-05-26
TXN-10033,West,Books,4,482.75,29,2025-03-16
TXN-10034,North,Apparel,5,403.83,4,2025-04-23
TXN-10035,South,Apparel,3,302.84,3,2025-05-25
TXN-10036,South,Books,5,316.22,3,2025-03-21
TXN-10037,South,Apparel,2,335.51,21,2025-05-24
TXN-10038,West,Home & Kitchen,16,256.41,27,2025-05-05
TXN-10039,North,Apparel,3,205.49,7,2025-05-24
TXN-10040,West,Books,2,221.04,1,2025-05-22
TXN-10041,South,Fitness,13,7.74,1,2025-05-02
TXN-10042,East,Books,15,463.60,4,2025-03-25
TXN-10043,East,Books,7,175.55,22,2025-04-28
TXN-10044,South,Fitness,5,424.14,23,2025-03-17
TXN-10045,North,Books,20,95.16,13,2025-04-04
TXN-10046,South,Groceries,13,202.50,23,2025-05-17
TXN-10047,North,Groceries,2,367.58,4,2025-04-09
TXN-10048,North,Home & Kitchen,18,497.57,12,2025-05-16
TXN-10049,North,Fitness,8,263.96,29,2025-05-15
TXN-10050,North,Books,8,76.75,29,2025-05-05
TXN-10051,South,Groceries,12,70.73,6,2025-05-10
TXN-10052,South,Home & Kitchen,7,418.50,11,2025-05-08
TXN-10053,North,Apparel,6,58.72,25,2025-05-21
TXN-10054,East,Home & Kitchen,9,362.65,9,2025-05-21
TXN-10055,South,Home & Kitchen,6,392.15,10,2025-03-19
TXN-10056,East,Fitness,11,169.64,22,2025-04-24
TXN-10057,South,Groceries,13,121.07,29,2025-04-24
TXN-10058,West,Books,3,311.14,28,2025-04-11
TXN-10059,West,Electronics,14,387.52,150,2025-04-20
TXN-10060,North,Home & Kitchen,14,298.44,3,2025-05-01
TXN-10061,South,Apparel,18,55.42,22,2025-05-08
TXN-10062,North,Apparel,8,333.56,13,2025-05-10
TXN-10063,West,Home & Kitchen,17,233.02,11,2025-04-06
TXN-10064,East,Groceries,9,49.55,25,2025-05-18
TXN-10022,West,Home & Kitchen,1,363.37,7,2025-05-21
TXN-10066,North,Fitness,8,487.10,150,2025-04-28
TXN-10067,North,Fitness,17,74.96,18,2025-05-17
TXN-10068,South,Home & Kitchen,1,143.09,2,2025-04-25
TXN-10069,South,Electronics,4,60.66,5,2025-03-25
TXN-10070,South,Home & Kitchen,18,485.22,3,2025-04-29
TXN-10071,West,Home & Kitchen,7,414.40,20,2025-03-27
TXN-10072,South,Fitness,14,16.43,24,2025-05-30
